"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","gen","prob_corte","fitness"
3,0.65,0.057,0.5,7,0.2,0.59,20,0.0229,7092900
3,0.65,0.032,0.7,7,0.2,0.59,20,0.0219,7122300
12,0.65,0.057,0.7,7,0.2,0.59,20,0.0223,6916500
3,0.65,0.057,0.6,1,0.2,0.5,20,0.0227,7165200
3,0.65,0.057,0.6,10,0.2,0.5,20,0.0234,7171800
3,0.65,0.057,0.7,7,0.2,0.58,20,0.0201,7073100
3,0.65,0.057,0.6,7,0.3,0.5,20,0.0233,7166400
3,0.51,0.057,0.7,7,0.2,0.59,20,0.0213,7100100
3,0.65,0.057,0.6,7,0.2,0.5,20,0.0201,7091100
3,0.65,0.057,0.7,7,0.2,0.59,20,0.0206,7086000
28,0.65,0.057,0.6,1,0.2,0.5,21,0.0128,6734400
3,0.65,0.057,0.6,6,0.2,0.5,21,0.0255,7059900
3,0.65,0.057,0.6,7,0.3,0.59,21,0.0215,7031100
3,0.65,0.057,0.6,8,0.2,0.5,21,0.0231,7132800
3,0.65,0.057,0.6,2,0.2,0.5,21,0.0214,7057800
3,0.65,0.057,0.6,10,0.2,0.59,21,0.021,7041300
3,0.65,0.122,0.6,1,0.2,0.5,21,0.0251,6851400
3,0.65,0.057,0.6,1,0.2,0.5,21,0.0216,7082700
3,0.65,0.057,0.6,1,0.3,0.62,21,0.0207,7050300
23,0.65,0.057,0.6,7,0.2,0.5,21,0.0241,6907200
3,0.65,0.057,0.6,7,0.3,0.5,21,0.0206,7088400
3,0.65,0.105,0.6,7,0.3,0.5,22,0.0199,7004100
3,0.65,0.057,0.6,8,0.2,0.63,22,0.0225,7093200
3,0.65,0.057,0.7,1,0.2,0.5,22,0.0202,7244700
3,0.65,0.057,0.6,8,0.5,0.5,22,0.0214,7119000
47,0.65,0.057,0.6,8,0.2,0.5,22,0.0237,6813300
3,0.65,0.057,0.8,1,0.2,0.5,22,0.0212,7140900
3,0.54,0.057,0.6,1,0.2,0.5,22,0.0197,7051800
3,0.65,0.057,0.6,7,0.5,0.5,22,0.0212,7041900
3,0.65,0.057,0.5,1,0.3,0.5,22,0.0229,6976500
40,0.65,0.057,0.6,7,0.2,0.5,22,0.0229,6846600
3,0.65,0.057,0.6,7,0.3,0.5,22,0.0219,7124400
3,0.65,0.057,0.6,1,0.2,0.5,22,0.0265,7051500
3,0.65,0.057,0.8,1,0.9,0.5,23,0.0209,7045200
3,0.65,0.057,0.7,1,0.2,0.5,23,0.0205,7097400
49,0.65,0.057,0.7,1,0.2,0.5,23,0.0098,6798000
3,0.61,0.057,0.8,1,0.2,0.5,23,0.0206,7117800
3,0.66,0.057,0.7,1,0.2,0.5,23,0.0205,7078800
3,0.65,0.057,0.8,1,0.2,0.53,23,0.0187,7019700
3,0.65,0.251,0.8,7,0.3,0.5,23,0.0308,6702300
3,0.65,0.466,0.6,1,0.2,0.5,23,0.0325,5811600
3,0.65,0.057,0.6,7,0.3,0.51,23,0.0185,7081800
