Feature	Gain	Cover	Frequency
mcomisiones_otras__min	0.00109715325217896	NA	0.00305019305019305
ctarjeta_debito_transacciones__tend	0.00109404454827756	NA	0.0027027027027027
Master_mlimitecompra__max	0.00109307602416228	NA	0.0032046332046332
mcomisiones__min	0.00108554564635812	NA	0.00258687258687259
tcuenta_debitos_automaticos	0.00107196233865945	NA	0.000926640926640927
mprestamos_personales__min	0.00106251892764281	NA	0.00173745173745174
Master_mfinanciacion_limite	0.00104100061267548	NA	0.00239382239382239
cextraccion_autoservicio__max	0.00103045558463254	NA	0.00285714285714286
Visa_Fvencimiento__tend	0.00102935562738755	NA	0.0022007722007722
mtarjeta_master_consumo	0.00102919189638085	NA	0.00196911196911197
Master_mpagospesos__min	0.00101689205033955	NA	0.00247104247104247
Visa_msaldototal__tend	0.00101541835711198	NA	0.00297297297297297
Master_mfinanciacion_limite__min	0.00101177260987819	NA	0.00343629343629344
Master_mfinanciacion_limite__max	0.00100996983153617	NA	0.00366795366795367
ccallcenter_transacciones__max	0.000995913753931383	NA	0.00301158301158301
ctarjeta_master_transacciones	0.000984487647030267	NA	0.00200772200772201
mcuenta_debitos_automaticos__tend	0.000983627849594543	NA	0.00266409266409266
Master_msaldopesos	0.000979612117621474	NA	0.00212355212355212
mcaja_ahorro_dolares__tend	0.000973786472997789	NA	0.00297297297297297
mcaja_ahorro_dolares__min	0.000962690954184363	NA	0.00247104247104247
tcuenta_debitos_automaticos__tend	0.000949184575515169	NA	0.00243243243243243
cliente_antiguedad__min	0.000944841775153633	NA	0.00262548262548263
mtransferencias_emitidas__tend	0.000933255699263941	NA	0.00293436293436293
tplan_sueldo__max	0.00093286930125912	NA	0.00173745173745174
mcomisiones_mantenimiento__min	0.000912485486703565	NA	0.0027027027027027
Visa_mpagospesos__min	0.000905480760263207	NA	0.00258687258687259
Visa_mconsumospesos__tend	0.000899329215975515	NA	0.00258687258687259
mpagomiscuentas__tend	0.000887440913625809	NA	0.00193050193050193
tcaja_seguridad	0.000877082889749583	NA	0.00173745173745174
Master_mpagospesos	0.000874810645933453	NA	0.00200772200772201
mextraccion_autoservicio	0.000874697814504689	NA	0.00158301158301158
tpagomiscuentas__tend	0.000870885666629765	NA	0.00243243243243243
Visa_mpagado	0.000870112532703321	NA	0.00166023166023166
mcajeros_ajenos__max	0.000869460635255639	NA	0.00212355212355212
Master_mconsumospesos__max	0.00086794758320299	NA	0.00200772200772201
Visa_mconsumototal__min	0.000865418441462584	NA	0.00262548262548263
Visa_fultimo_cierre	0.000864912797799561	NA	0.00200772200772201
Visa_mconsumosdolares__max	0.000864048082917844	NA	0.00231660231660232
Visa_mconsumospesos__max	0.000861415444643006	NA	0.00262548262548263
Master_msaldopesos__tend	0.000861240176322225	NA	0.00301158301158301
tpagomiscuentas__max	0.000857357462753416	NA	0.00266409266409266
Visa_fultimo_cierre__tend	0.000856440025973102	NA	0.00266409266409266
Master_mpagominimo__tend	0.000842296469640485	NA	0.00239382239382239
Master_mpagospesos__tend	0.000836402902134915	NA	0.00243243243243243
mcaja_ahorro_dolares__max	0.000832878336359511	NA	0.00243243243243243
mautoservicio__tend	0.000831212453753407	NA	0.00135135135135135
ctransferencias_emitidas__max	0.000828101435786746	NA	0.00200772200772201
Master_mpagominimo__max	0.00082603436615759	NA	0.00204633204633205
ccomisiones_mantenimiento	0.000825424380021873	NA	0.00181467181467181
ccajeros_ajenos_transacciones__max	0.000818792412493938	NA	0.00173745173745174
Master_mconsumospesos	0.000807946655462182	NA	0.00177606177606178
ctransferencias_emitidas__tend	0.000802095553598853	NA	0.00204633204633205
mcajeros_propio__tend	0.000800885597328139	NA	0.00274131274131274
Visa_mpagosdolares__tend	0.000800316720123922	NA	0.00193050193050193
mcomisiones_otras__tend	0.000799630471622269	NA	0.00212355212355212
mtarjeta_master_consumo__tend	0.000797562475358302	NA	0.00243243243243243
mcaja_ahorro_dolares	0.000797177490918609	NA	0.0027027027027027
Master_mlimitecompra__min	0.000783057505773039	NA	0.00235521235521236
mtransferencias_emitidas__max	0.000779146650658054	NA	0.00223938223938224
Visa_mconsumototal__tend	0.000776798819851088	NA	0.0022007722007722
mpagomiscuentas__max	0.000773391674891456	NA	0.0022007722007722
Master_mlimitecompra	0.000768551865856211	NA	0.00196911196911197
Visa_fechaalta__tend	0.000768423545045696	NA	0.00227799227799228
Visa_fultimo_cierre__max	0.000763422596921906	NA	0.00166023166023166
Master_fechaalta__tend	0.000752034361461739	NA	0.00223938223938224
mcajeros_propio__max	0.000751330781542039	NA	0.00247104247104247
Master_mconsumototal	0.000740694235817255	NA	0.00131274131274131
mextraccion_autoservicio__max	0.000736158856120279	NA	0.00166023166023166
ctarjeta_visa_descuentos__tend	0.000734531587042428	NA	0.00243243243243243
Master_tconsumos__tend	0.000727355876075966	NA	0.00193050193050193
ccheques_emitidos_rechazados__max	0.000715965567264676	NA	0.00185328185328185
Visa_mfinanciacion_limite__min	0.00071505823130816	NA	0.00243243243243243
Visa_mlimitecompra__min	0.000714737458855325	NA	0.0022007722007722
Visa_msaldopesos__max	0.000714291819037499	NA	0.00193050193050193
mplazo_fijo_dolares__tend	0.000701801244408615	NA	0.00243243243243243
Master_fultimo_cierre__tend	0.000689927722824083	NA	0.00189189189189189
mextraccion_autoservicio__min	0.000685920379853403	NA	0.00150579150579151
Master_tconsumos__max	0.000683321130692984	NA	0.00223938223938224
mcajeros_ajenos__tend	0.000670430665687881	NA	0.00223938223938224
thomebanking	0.000668467371363056	NA	0.000347490347490347
ccomisiones_otras__max	0.000662214590502825	NA	0.00200772200772201
Master_mconsumototal__max	0.000662017341083826	NA	0.00216216216216216
mtitulos__tend	0.000661064627990239	NA	0.00200772200772201
Master_mpagospesos__max	0.000658676657068871	NA	0.00150579150579151
Master_Finiciomora__tend	0.000658413203466945	NA	0.000733590733590734
Master_mconsumototal__tend	0.00065770098259739	NA	0.00135135135135135
Master_msaldototal__max	0.00064928865707164	NA	0.00193050193050193
ctarjeta_debito_transacciones__min	0.000646589703656119	NA	0.00138996138996139
ctarjeta_debito_transacciones__max	0.000639757643760572	NA	0.00204633204633205
Master_Fvencimiento__tend	0.000635078613659669	NA	0.00196911196911197
Visa_mlimitecompra__max	0.000627107664789709	NA	0.00239382239382239
