experimento	metrica	metrica2	tiempo	parametros	fecha	clase	programa	algoritmo	busqueda	estimacion	dataset_train	dataset_test	observaciones
999	5310900	0.9207039	26.88669	"num_iterations=398, init_score=0.005, bagging_fraction=1, feature_fraction=0.335564271231229, learning_rate=0.00890836005571371, min_data_in_leaf=12, num_leaves=100, lambda_l1=0.81836075424785, min_gain_to_split=0.992163017675072, max_bin=31"	20181203 212221	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.032803031717645
999	5309700	0.923326	21.56684	"num_iterations=261, init_score=0.005, bagging_fraction=1, feature_fraction=0.278924665055783, learning_rate=0.0101619560511518, min_data_in_leaf=68, num_leaves=11, lambda_l1=0.687397983963797, min_gain_to_split=0.980672814685003, max_bin=31"	20181203 210503	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0272387327259697
999	5309700	0.9228803	18.57744	"num_iterations=153, init_score=0.005, bagging_fraction=1, feature_fraction=0.755620090569655, learning_rate=0.0137370261273608, min_data_in_leaf=100, num_leaves=10, lambda_l1=0.956608712588701, min_gain_to_split=0.118441081980154, max_bin=31"	20181203 213458	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0246951582331088
999	5305800	0.9226626	17.23558	"num_iterations=119, init_score=0.005, bagging_fraction=1, feature_fraction=0.527359279651627, learning_rate=0.0176338277288574, min_data_in_leaf=53, num_leaves=27, lambda_l1=0.485274665337016, min_gain_to_split=0.794215967333123, max_bin=31"	20181203 211033	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0204014337936323
999	5302200	0.9217376	23.33891	"num_iterations=94, init_score=0.005, bagging_fraction=1, feature_fraction=0.310386870109014, learning_rate=0.0130445088424056, min_data_in_leaf=55, num_leaves=471, lambda_l1=0.450515823214358, min_gain_to_split=0.560238690800053, max_bin=31"	20181203 203744	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0160081757633484
999	5299500	0.9205224	24.33538	"num_iterations=165, init_score=0.005, bagging_fraction=1, feature_fraction=0.902422016684016, learning_rate=0.00559162914869376, min_data_in_leaf=5, num_leaves=53, lambda_l1=0.455370300557531, min_gain_to_split=0.699809626759296, max_bin=31"	20181203 200835	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0158108354634688
999	5297400	0.9212967	15.80448	"num_iterations=162, init_score=0.005, bagging_fraction=1, feature_fraction=0.222062261622897, learning_rate=0.00573092452290081, min_data_in_leaf=79, num_leaves=10, lambda_l1=0.873544164308669, min_gain_to_split=0.684730857569642, max_bin=31"	20181203 204518	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.018496497631608
999	5297400	0.9199195	12.1873	"num_iterations=86, init_score=0.005, bagging_fraction=1, feature_fraction=0.15815731386619, learning_rate=0.0373417863085941, min_data_in_leaf=85, num_leaves=116, lambda_l1=0.420590801314102, min_gain_to_split=0.918386992433521, max_bin=31"	20181203 210727	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0241237620237766
999	5296200	0.9216931	18.16373	"num_iterations=106, init_score=0.005, bagging_fraction=1, feature_fraction=0.298837436499114, learning_rate=0.0127460161556076, min_data_in_leaf=76, num_leaves=478, lambda_l1=0.686325659827093, min_gain_to_split=0.874624284719454, max_bin=31"	20181203 205400	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0154778395054886
999	5295900	0.9217911	19.4323	"num_iterations=84, init_score=0.005, bagging_fraction=1, feature_fraction=0.359885794085247, learning_rate=0.0145773361770549, min_data_in_leaf=44, num_leaves=367, lambda_l1=0.726226218181155, min_gain_to_split=0.76926345168276, max_bin=31"	20181203 205102	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0156099404210231
999	5293200	0.9201219	25.65524	"num_iterations=299, init_score=0.005, bagging_fraction=1, feature_fraction=0.077493445384026, learning_rate=0.0246072520299078, min_data_in_leaf=100, num_leaves=246, lambda_l1=0.753455279709888, min_gain_to_split=0.295022268481874, max_bin=31"	20181203 211143	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0245528095987369
999	5292300	0.9210212	16.67738	"num_iterations=252, init_score=0.005, bagging_fraction=1, feature_fraction=0.645527252053417, learning_rate=0.0196922670974567, min_data_in_leaf=60, num_leaves=10, lambda_l1=0.281227748523388, min_gain_to_split=0.0358548141690796, max_bin=31"	20181203 212302	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0286213377257244
999	5292000	0.9228252	34.82977	"num_iterations=442, init_score=0.005, bagging_fraction=1, feature_fraction=0.635048775904825, learning_rate=0.00257301108121094, min_data_in_leaf=25, num_leaves=14, lambda_l1=0.915236867697548, min_gain_to_split=0.989980588700166, max_bin=31"	20181203 205035	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0214950289395914
999	5290800	0.921429	14.45407	"num_iterations=69, init_score=0.005, bagging_fraction=1, feature_fraction=0.244614789736954, learning_rate=0.0163586651524639, min_data_in_leaf=28, num_leaves=454, lambda_l1=0.74719043969877, min_gain_to_split=0.919709556215628, max_bin=31"	20181203 213117	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0161074111181701
999	5287800	0.9206849	17.44432	"num_iterations=320, init_score=0.005, bagging_fraction=1, feature_fraction=0.0927252594213729, learning_rate=0.0255743626983827, min_data_in_leaf=56, num_leaves=10, lambda_l1=0.863829753788753, min_gain_to_split=0.903070323674607, max_bin=31"	20181203 212010	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0311202724547834
999	5286300	0.9215516	17.68904	"num_iterations=290, init_score=0.005, bagging_fraction=1, feature_fraction=0.144332514228704, learning_rate=0.0168349960851779, min_data_in_leaf=71, num_leaves=10, lambda_l1=0.656488754037782, min_gain_to_split=0.0557620033934006, max_bin=31"	20181203 205338	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.026674234028006
999	5285100	0.9217008	18.08775	"num_iterations=151, init_score=0.005, bagging_fraction=1, feature_fraction=0.153899051553805, learning_rate=0.0101117120717877, min_data_in_leaf=27, num_leaves=102, lambda_l1=0.963081640969027, min_gain_to_split=0.999733068656218, max_bin=31"	20181203 205317	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0172365777460656
999	5285100	0.9207843	18.15241	"num_iterations=319, init_score=0.005, bagging_fraction=1, feature_fraction=0.32999743478342, learning_rate=0.0136474489409498, min_data_in_leaf=91, num_leaves=22, lambda_l1=0.918895868170336, min_gain_to_split=0.206585973364003, max_bin=31"	20181203 210221	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0270500567204454
999	5285100	0.9201302	12.90795	"num_iterations=110, init_score=0.005, bagging_fraction=1, feature_fraction=0.285976762197924, learning_rate=0.04839947944921, min_data_in_leaf=67, num_leaves=17, lambda_l1=0.730692153325938, min_gain_to_split=0.40288439940876, max_bin=31"	20181203 210801	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0247912187525654
999	5284500	0.9218608	18.83434	"num_iterations=219, init_score=0.005, bagging_fraction=1, feature_fraction=0.817013944417567, learning_rate=0.0112912218582749, min_data_in_leaf=72, num_leaves=11, lambda_l1=0.430014573310324, min_gain_to_split=0.97826465908622, max_bin=31"	20181203 203443	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0249550195310074
999	5284200	0.9203129	15.38466	"num_iterations=214, init_score=0.005, bagging_fraction=1, feature_fraction=0.125081747625646, learning_rate=0.00223220654992093, min_data_in_leaf=99, num_leaves=314, lambda_l1=0.251437202115754, min_gain_to_split=0.680484815758508, max_bin=31"	20181203 201605	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0150879320418847
999	5283900	0.9213361	66.69444	"num_iterations=827, init_score=0.005, bagging_fraction=1, feature_fraction=0.67063113634607, learning_rate=0.00146337931379029, min_data_in_leaf=34, num_leaves=61, lambda_l1=0.448775424567626, min_gain_to_split=0.926204099533444, max_bin=31"	20181203 212614	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0164555467067935
999	5282100	0.9219898	17.03295	"num_iterations=218, init_score=0.005, bagging_fraction=1, feature_fraction=0.253229020551615, learning_rate=0.00490287628457209, min_data_in_leaf=42, num_leaves=456, lambda_l1=0.807924199591452, min_gain_to_split=0.765551606841934, max_bin=31"	20181203 205438	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0203580482074955
999	5282100	0.9209758	16.42968	"num_iterations=83, init_score=0.005, bagging_fraction=1, feature_fraction=0.399482884018546, learning_rate=0.0145951800794771, min_data_in_leaf=7, num_leaves=42, lambda_l1=0.797198285054799, min_gain_to_split=0.939008896170621, max_bin=31"	20181203 205825	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0161937549617426
999	5281800	0.920497	27.37761	"num_iterations=94, init_score=0.005, bagging_fraction=1, feature_fraction=0.210275119754787, learning_rate=0.027758022491289, min_data_in_leaf=97, num_leaves=333, lambda_l1=0.978147389526548, min_gain_to_split=0.0144950006690576, max_bin=31"	20181203 204122	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0199928046500851
999	5281800	0.9214578	35.46665	"num_iterations=398, init_score=0.005, bagging_fraction=1, feature_fraction=0.347664241424833, learning_rate=0.0027176914921478, min_data_in_leaf=1, num_leaves=458, lambda_l1=0.7455377759694, min_gain_to_split=0.946169461525746, max_bin=31"	20181203 204857	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0150444211331032
999	5281200	0.9215118	15.34507	"num_iterations=206, init_score=0.005, bagging_fraction=1, feature_fraction=0.553125036283072, learning_rate=0.0283200324556674, min_data_in_leaf=91, num_leaves=10, lambda_l1=0.914069518685026, min_gain_to_split=0.400401520263304, max_bin=31"	20181203 213939	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0275033204814024
999	5280300	0.9192605	16.86847	"num_iterations=268, init_score=0.005, bagging_fraction=1, feature_fraction=0.344973288768656, learning_rate=0.0223211378641199, min_data_in_leaf=60, num_leaves=48, lambda_l1=0.332862100644287, min_gain_to_split=0.917961207735053, max_bin=31"	20181203 204918	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.029866166065436
999	5277900	0.9205193	17.55962	"num_iterations=207, init_score=0.005, bagging_fraction=1, feature_fraction=0.0662867464355304, learning_rate=0.0345305994843846, min_data_in_leaf=70, num_leaves=198, lambda_l1=0.363161289467836, min_gain_to_split=0.984013561015874, max_bin=31"	20181203 204144	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0224239260977702
